seed,best_model,best_val_auc,best_sensitivity,best_specificity,best_cv_auc,selected_features
59,Random Forest,0.6088498879761015,0.6923076923076923,0.6116504854368932,0.4025641025641026,"POE25, POE21, POE15.C16..."
62,Random Forest,0.6086631814787155,0.7307692307692307,0.5436893203883495,0.5897435897435896,"POE25, POE26, POE17..."
6,Random Forest,0.6084764749813294,0.5384615384615384,0.7669902912621359,0.6314102564102563,"POE25, POE21, POE26..."
83,Random Forest,0.6075429424943989,0.46153846153846156,0.7864077669902912,0.6555555555555556,"POE25, POE21, POE26..."
168,Gradient Boosting,0.6069828230022404,0.5,0.6893203883495146,0.505982905982906,"POE25, POE26, POE20..."
179,Random Forest,0.6056758775205376,0.6538461538461539,0.6699029126213593,0.5241452991452992,"POE25, POE15.C16, POE21..."
195,Gradient Boosting,0.6054891710231515,0.5,0.6893203883495146,0.4288461538461538,"POE25, POE26, POE20..."
108,Gradient Boosting,0.6053024645257655,0.6153846153846154,0.6213592233009708,0.3844017094017094,"POE25, POE20, POE29.C16..."
138,Gradient Boosting,0.6053024645257655,0.6153846153846154,0.6213592233009708,0.5435897435897437,"POE29.C16, POE25, POE20..."
14,Gradient Boosting,0.6053024645257655,0.6153846153846154,0.6213592233009708,0.3405982905982906,"POE25, POE20, POE29.C16..."
65,Gradient Boosting,0.6045556385362211,0.6153846153846154,0.6213592233009708,0.3914529914529914,"POE25, POE29.C16, POE20..."
52,Gradient Boosting,0.6045556385362211,0.6153846153846154,0.6213592233009708,0.5352564102564102,"POE25, POE29.C16, POE20..."
154,Gradient Boosting,0.6045556385362211,0.6153846153846154,0.6213592233009708,0.5568376068376069,"POE25, POE20, POE29.C16..."
116,Gradient Boosting,0.6045556385362211,0.6153846153846154,0.6213592233009708,0.5470085470085471,"POE25, POE20, POE29.C16..."
142,Gradient Boosting,0.6045556385362211,0.6153846153846154,0.6213592233009708,0.4702991452991453,"POE29.C16, POE25, POE20..."
36,Random Forest,0.6043689320388349,0.5384615384615384,0.7864077669902912,0.6352564102564102,"POE25, POE26, POE21..."
81,Random Forest,0.6021284540702017,0.7692307692307693,0.5048543689320388,0.6294871794871796,"POE25, POE26, POE17..."
160,Random Forest,0.6006348020911128,0.5,0.7766990291262136,0.6145299145299145,"POE21, POE26, POE25..."
186,Random Forest,0.5995145631067961,0.6153846153846154,0.6796116504854369,0.6162393162393162,"POE25, POE21, POE26..."
41,Random Forest,0.5978342046303211,0.5384615384615384,0.7766990291262136,0.6811965811965812,"POE25, POE26, POE21..."
145,Random Forest,0.597647498132935,0.5,0.7281553398058253,0.6275641025641026,"POE25, POE26, POE21..."
114,Random Forest,0.5974607916355489,0.6923076923076923,0.5728155339805825,0.6418803418803419,"POE25, POE26, POE21..."
187,Random Forest,0.5952203136669156,0.5384615384615384,0.7281553398058253,0.7487179487179487,"POE25, POE21, POE26..."
96,XGBoost,0.5950336071695295,0.8461538461538461,0.4563106796116505,0.2946581196581196,"POE25, POE15.C16, POE20..."
198,XGBoost,0.5950336071695295,0.8461538461538461,0.4563106796116505,0.5277777777777778,"POE25, POE15.C16, POE20..."
144,SVM RBF,0.5933532486930545,0.46153846153846156,0.7961165048543689,0.4952991452991453,"POE25, POE26, POE21..."
155,SVM RBF,0.5933532486930545,0.46153846153846156,0.7961165048543689,0.5482905982905983,"POE21, POE25, POE26..."
53,SVM RBF,0.5933532486930545,0.46153846153846156,0.7961165048543689,0.6311965811965811,"POE25, POE21, POE26..."
122,SVM RBF,0.5933532486930545,0.46153846153846156,0.7961165048543689,0.6961538461538461,"POE25, POE26, POE21..."
74,SVM RBF,0.5933532486930545,0.46153846153846156,0.7961165048543689,0.638034188034188,"POE25, POE26, POE21..."
196,SVM RBF,0.5933532486930545,0.46153846153846156,0.7961165048543689,0.4632478632478632,"POE25, POE26, POE21..."
42,SVM RBF,0.5933532486930545,0.46153846153846156,0.7961165048543689,0.6474358974358975,"POE25, POE21, POE26..."
78,SVM RBF,0.5933532486930545,0.46153846153846156,0.7961165048543689,0.632051282051282,"POE25, POE21, POE26..."
139,SVM RBF,0.5933532486930545,0.46153846153846156,0.7961165048543689,0.7367521367521368,"POE25, POE21, POE26..."
9,SVM RBF,0.5933532486930545,0.46153846153846156,0.7961165048543689,0.4948717948717949,"POE25, POE26, POE21..."
